time,count,activity
2026-05-02 12:37:29.704456,0,Low
2026-05-02 12:37:29.813748,0,Low
2026-05-02 12:37:29.953141,0,Low
2026-05-02 12:37:30.117819,0,Low
2026-05-02 12:37:30.289140,0,Low
2026-05-02 12:37:30.458644,0,Low
2026-05-02 12:37:30.598945,0,Low
2026-05-02 12:37:30.777188,0,Low
2026-05-02 12:37:30.948713,0,Low
2026-05-02 12:37:31.098139,1,Low
2026-05-02 12:37:31.300601,1,Low
2026-05-02 12:37:31.410304,1,Low
2026-05-02 12:37:31.522809,1,Low
2026-05-02 12:37:31.623338,1,Low
2026-05-02 12:37:31.742233,1,Low
2026-05-02 12:37:31.841436,0,Low
2026-05-02 12:37:31.937293,1,Low
2026-05-02 12:37:32.041907,1,Low
2026-05-02 12:37:32.138363,1,Low
2026-05-02 12:37:32.244535,1,Low
2026-05-02 12:37:32.348572,0,Low
2026-05-02 12:37:32.453026,0,Low
2026-05-02 12:37:32.569799,1,Low
2026-05-02 12:37:32.682934,1,Low
2026-05-02 12:37:32.775096,1,Low
2026-05-02 12:37:32.893062,0,Low
2026-05-02 12:37:33.000460,1,Low
2026-05-02 12:37:33.113385,1,Low
2026-05-02 12:37:33.233107,0,Low
2026-05-02 12:37:33.345286,1,Low
2026-05-02 12:37:33.471656,1,Low
2026-05-02 12:37:33.567957,0,Low
2026-05-02 12:37:33.667553,0,Low
2026-05-02 12:37:33.776485,1,Low
2026-05-02 12:37:33.886304,1,Low
2026-05-02 12:37:34.004957,1,Low
2026-05-02 12:37:34.124065,1,Low
2026-05-02 12:37:34.232913,1,Low
2026-05-02 12:37:34.340737,1,Low
2026-05-02 12:37:34.447815,0,Low
2026-05-02 12:37:34.540035,0,Low
2026-05-02 12:37:34.644691,1,Low
2026-05-02 12:37:34.747254,1,Low
2026-05-02 12:37:34.856416,1,Low
2026-05-02 12:37:34.965377,0,Low
2026-05-02 12:37:35.066449,0,Low
2026-05-02 12:37:35.170629,1,Low
2026-05-02 12:37:35.279053,0,Low
2026-05-02 12:37:35.373124,0,Low
2026-05-02 12:37:35.472673,0,Low
2026-05-02 12:37:35.573611,0,Low
2026-05-02 12:37:35.681734,1,Low
2026-05-02 12:37:35.792146,1,Low
2026-05-02 12:37:35.986847,1,Low
2026-05-02 12:37:36.085309,0,Low
2026-05-02 12:37:36.182244,1,Low
2026-05-02 12:37:36.295920,1,Low
2026-05-02 12:37:36.396403,1,Low
2026-05-02 12:37:36.493868,1,Low
2026-05-02 12:37:36.596855,0,Low
2026-05-02 12:37:36.700335,0,Low
2026-05-02 12:37:36.813793,0,Low
2026-05-02 12:37:36.937077,1,Low
2026-05-02 12:37:37.055943,0,Low
2026-05-02 12:37:37.173729,1,Low
2026-05-02 12:37:37.292489,1,Low
2026-05-02 12:37:37.372858,1,Low
2026-05-02 12:37:37.475844,0,Low
2026-05-02 12:37:37.606198,0,Low
2026-05-02 12:37:37.774537,1,Low
2026-05-02 12:37:37.965757,1,Low
2026-05-02 12:37:38.129033,0,Low
2026-05-02 12:37:38.324194,0,Low
2026-05-02 12:37:38.482121,0,Low
2026-05-02 12:37:38.606169,0,Low
2026-05-02 12:37:38.759773,0,Low
2026-05-02 12:37:38.876639,0,Low
2026-05-02 12:37:38.991317,0,Low
2026-05-02 12:37:39.091281,0,Low
2026-05-02 12:37:39.193396,0,Low
2026-05-02 12:37:39.302847,0,Low
2026-05-02 12:37:39.408191,0,Low
2026-05-02 12:37:39.509721,0,Low
2026-05-02 12:37:39.603664,0,Low
2026-05-02 12:37:39.706367,0,Low
2026-05-02 12:37:39.810250,0,Low
2026-05-02 12:37:39.925377,0,Low
2026-05-02 12:37:40.037203,0,Low
2026-05-02 12:37:40.136975,0,Low
